Summa kor,Summa Får,Summa Svin
1155408,134187,1974370
987420,220170,1884310
946873,238434,1897811
871794,266729,2016023
840598,285787,2043371
815797,342405,2065125
757749,334616,2073559
728051,330396,2280830
731777,332474,2427738
755719,347471,2374352
755450,372365,2375284
739676,368138,2446184
729450,389478,2468292
720449,389830,2555846
718149,387237,2605221
724393,382559,2604298
726654,391629,2618096
731377,403211,2616842
730953,430083,2600587
723974,436686,2583941
717343,437134,2593213
704933,424978,2500073
656106,407112,2352736
629748,395365,2142539
620962,394713,2274364
633056,400506,2263660
650953,405595,2263943
625865,418783,2201413
661739,447461,2279053
678075,470687,2276547
674009,483428,2328405
639246,461849,2313137
630380,469035,2348754
636990,442102,2351201
619056,421189,2286030
613321,437249,2115213
594898,431934,1917917
584209,451594,1891456
585675,426772,1881743
567238,448308,1903126
575432,465561,1818037
569876,471284,1811216
565052,505466,1680535
555363,508921,1676327
